,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
317,32.6,-93.5,April,F2
318,37.85,-85.0,April,F1
319,34.68,-82.83,April,F1
320,29.78,-94.23,April,F1
321,29.95,-93.92,April,F1
322,35.55,-86.97,May,F2
323,35.25,-87.33,May,F0
324,36.07,-86.77,May,F1
325,36.25,-88.08,May,F1
326,36.4,-87.95,May,F1
327,41.4,-83.47,May,F0
328,37.17,-79.08,April,F0
329,36.57,-98.62,May,F2
330,36.58,-98.37,May,F1
331,41.6,-92.2,May,F0
332,41.52,-92.1,May,F0
333,41.22,-90.32,May,F0
334,38.37,-96.45,May,F0
335,38.42,-96.45,May,F0
336,31.95,-93.38,April,F3
337,31.97,-93.47,April,F3
338,42.68,-98.88,April,F1
339,31.9,-97.37,May,F3
340,36.58,-94.75,May,F0
341,32.05,-93.7,April,F2
342,31.4,-101.9,March,F1
343,41.53,-92.42,May,F0
344,39.95,-88.95,April,F1
345,32.3,-86.33,January,F0
346,35.13,-77.02,April,F1
347,34.72,-76.7,April,F0
348,34.68,-77.05,April,F0
349,32.48,-93.85,April,F1
350,36.45,-86.18,May,F1
351,36.13,-86.8,May,F1
352,36.13,-86.8,May,F1
353,35.98,-86.53,May,F0
354,41.43,-94.77,May,F0
355,32.52,-94.33,April,F2
356,41.73,-97.58,May,F0
357,42.12,-91.1,May,F0
358,36.3,-97.9,May,F0
359,41.47,-93.38,May,F1
360,41.45,-93.33,May,F1
361,41.52,-93.37,May,F0
362,39.07,-95.33,May,F1
363,33.37,-98.77,April,F3
364,33.58,-98.63,May,F0
365,36.3,-88.05,May,F1
366,40.97,-83.98,June,F1
367,37.3,-89.85,May,F0
368,36.32,-87.97,May,F3
369,36.48,-87.42,May,F0
370,33.57,-98.67,May,F0
371,33.9,-85.55,April,F2
372,33.97,-99.73,April,F0
373,34.02,-100.68,April,F0
374,41.33,-94.62,May,F0
375,41.25,-94.68,May,F0
376,41.3,-94.47,May,F0
377,30.37,-92.65,April,F0
378,33.9,-85.52,April,F2
379,33.58,-86.85,April,F1
380,33.63,-101.98,May,F0
381,29.85,-90.95,April,F0
382,33.4,-86.78,April,F1
383,39.07,-95.57,May,F0
384,36.37,-95.32,May,F0
385,36.25,-95.1,May,F0
386,40.02,-85.35,June,F0
387,41.3,-76.92,June,F1
388,34.8,-81.53,May,F1
389,40.18,-89.2,May,F0
390,40.35,-88.85,May,F0
391,37.3,-95.8,June,F0
392,42.5,-91.98,May,F0
393,33.33,-95.57,April,F0
394,29.35,-95.45,May,F0
395,30.7,-88.08,April,F1
396,30.58,-87.3,April,F1
397,34.82,-77.55,May,F0
398,31.1,-81.47,April,F0
399,31.32,-85.87,April,F0
400,33.7,-97.53,March,F0
401,41.88,-103.65,May,F0
402,41.88,-103.65,May,F0
403,37.33,-90.7,May,F0
404,26.0,-80.5,April,F0
405,33.65,-97.23,March,F0
406,33.27,-99.0,April,F1
407,34.87,-95.53,April,F1
408,33.88,-94.8,April,F1
409,32.88,-93.98,April,F1
410,38.43,-90.78,April,F0
411,41.23,-90.02,May,F0
412,30.83,-89.12,April,F0
413,41.35,-764.0,June,F0
414,42.38,-93.27,May,F0
415,40.02,-76.13,June,F0
416,31.98,-88.35,April,F1
417,26.68,-80.67,June,F0
418,33.18,-99.07,May,F0
419,42.1,-92.67,June,F0
420,36.47,-92.9,May,F1
421,42.62,-92.07,May,F0
422,35.02,-775.1,May,F0
423,39.72,-82.35,May,F1
424,43.1,-96.52,May,F0
425,40.12,-103.07,May,F0
426,40.12,-103.05,May,F0
427,40.17,-103.2,May,F0
428,44.25,-95.77,May,F0
429,36.03,-84.03,May,F1
430,45.1,-94.85,May,F0
431,44.98,-94.7,May,F0
432,42.52,-92.63,May,F0
433,42.52,-92.45,May,F3
434,42.57,-92.23,May,F2
435,42.57,-92.17,May,F2
436,30.68,-91.12,April,F1
437,26.23,-97.52,May,F0
438,41.1,-92.52,June,F1
439,26.63,-97.8,March,F0
440,31.13,-90.45,April,F0
441,42.05,-104.35,May,F0
442,42.02,-104.18,May,F0
443,45.0,-94.88,May,F1
444,41.97,-104.18,May,F0
445,41.68,-93.5,May,F0
446,34.9,-102.22,May,F0
447,40.07,-103.1,May,F1
448,40.13,-103.07,May,F0
449,40.67,-82.9,May,F2
450,36.25,-92.38,May,F0
451,36.22,-92.53,May,F1
452,34.97,-78.95,May,F0
453,42.98,-92.2,June,F0
454,40.17,-104.37,May,F0
455,40.63,-104.28,May,F0
456,41.32,-93.73,June,F0
457,38.3,-101.75,June,F0
458,39.63,-101.6,June,F1
459,40.58,-103.13,May,F1
460,33.28,-98.85,May,F0
461,33.25,-98.58,May,F0
462,36.17,-86.57,April,F0
463,41.68,-97.5,May,F0
464,36.25,-92.47,May,F1
465,39.12,-93.78,May,F1
466,40.77,-93.32,June,F0
467,35.6,-101.38,June,F0
468,42.58,-91.95,May,F1
469,41.7,-97.37,May,F0
470,36.22,-98.65,May,F1
471,41.22,-90.05,May,F0
472,43.23,-97.47,May,F0
473,48.35,-99.53,June,F0
474,48.28,-99.55,June,F0
475,40.25,-77.2,June,F0
476,35.9,-88.17,May,F1
477,27.22,-98.58,May,F0
478,37.67,-77.3,May,F0
479,40.35,-81.08,May,F2
480,40.33,-805.02,May,F0
481,34.97,-92.08,May,F0
482,34.75,-92.52,May,F1
483,39.25,-93.68,May,F1
484,32.77,-97.8,June,F0
485,25.85,-80.27,June,F0
486,33.17,-99.75,May,F0
487,41.35,-90.38,May,F0
488,36.43,-87.9,May,F1
489,41.45,-89.67,May,F0
490,35.18,-91.37,May,F1
491,39.18,-94.58,May,F1
492,42.38,-98.13,June,F0
493,42.2,-97.85,June,F0
494,42.1,-97.77,June,F0
495,41.93,-101.2,June,F0
496,41.4,-83.47,June,F1
497,39.67,-91.62,June,F0
498,30.85,-90.15,June,F0
499,41.63,-96.72,June,F0
500,40.85,-95.32,June,F0
501,40.95,-95.25,June,F0
502,41.8,-97.78,June,F0
503,34.85,-92.55,May,F0
504,39.83,-84.87,June,F1
505,38.65,-89.37,June,F0
506,35.83,-91.38,May,F0
507,43.65,-88.58,June,F0
508,39.6,-99.22,May,F0
509,35.98,-91.63,May,F1
510,35.7,-91.45,May,F0
511,38.6,-94.0,May,F1
512,42.35,-98.17,June,F0
513,42.18,-97.78,June,F0
514,41.52,-95.72,June,F0
515,41.5,-95.73,June,F1
516,41.62,-95.57,June,F0
517,35.55,-91.5,May,F1
518,41.88,-101.27,June,F0
519,33.97,-98.68,June,F0
520,39.53,-101.45,June,F0
521,32.77,-97.8,June,F0
522,39.63,-99.7,June,F0
523,44.05,-90.88,June,F1
524,40.57,-104.42,May,F0
525,40.43,-103.78,May,F1
526,32.87,-81.12,June,F1
527,40.33,-94.87,May,F1
528,40.7,-96.18,June,F0
529,45.77,-122.52,May,F0
530,40.23,-103.07,May,F0
531,39.07,-95.18,May,F1
532,40.78,-89.37,May,F0
533,41.43,-85.15,July,F1
534,41.43,-85.1,July,F0
535,47.85,-97.28,June,F1
536,36.27,-76.53,June,F0
537,39.07,-89.47,June,F0
538,31.25,-82.32,June,F0
539,41.73,-94.25,June,F0
540,41.72,-94.1,June,F0
541,36.87,-86.7,May,F0
542,36.98,-86.43,May,F0
543,40.42,-102.87,May,F0
544,39.98,-76.38,May,F0
545,39.52,-90.58,May,F0
546,47.95,-97.5,June,F0
547,40.63,-102.72,May,F0
548,40.35,-88.78,May,F0
549,40.25,-88.2,May,F0
550,35.32,-98.45,May,F0
551,38.6,-98.03,June,F1
552,42.08,-93.25,June,F1
553,40.98,-96.4,June,F0
554,37.23,-89.67,June,F0
555,40.68,-102.83,May,F1
556,43.38,-88.38,June,F0
557,42.77,-90.18,June,F1
558,40.72,-102.62,May,F0
559,40.15,-103.18,May,F1
560,40.12,-103.03,May,F0
561,40.42,-103.8,May,F0
562,40.42,-103.58,May,F0
563,40.65,-102.72,May,F0
564,40.43,-102.1,May,F0
565,37.27,-85.38,May,F0
566,47.9,-97.8,June,F0
567,35.32,-98.67,May,F0
568,35.3,-98.6,May,F0
569,48.23,-101.08,June,F0
570,34.82,-103.32,June,F0
571,34.75,-103.32,June,F0
572,40.63,-102.7,May,F0
573,40.6,-95.85,June,F0
574,37.53,-86.3,May,F3
575,37.37,-85.98,May,F0
576,35.3,-98.53,May,F0
577,40.58,-102.83,May,F0
578,43.4,-88.63,June,F2
579,43.92,-90.17,June,F1
580,38.75,-82.4,June,F2
581,47.98,-106.63,July,F0
582,39.28,-93.5,June,F0
583,39.17,-93.87,June,F0
584,47.83,-106.63,July,F0
585,46.17,-87.73,June,F1
586,48.4,-106.93,July,F0
587,39.58,-90.6,May,F0
588,26.07,-801.08,July,F0
589,36.65,-99.08,June,F0
590,37.42,-95.23,June,F0
591,37.32,-95.27,June,F0
592,37.32,-95.27,June,F0
593,37.17,-95.1,June,F0
594,37.2,-95.3,June,F0
595,24.68,-81.38,July,F0
596,30.23,-90.92,May,F0
597,33.47,-102.02,June,F0
598,35.57,-101.2,June,F0
599,26.13,-80.13,June,F0
600,40.03,-85.5,June,F0
601,39.53,-100.47,June,F0
602,40.35,-103.68,May,F0
603,40.35,-102.97,May,F0
604,39.87,-89.47,May,F0
605,39.88,-89.17,May,F0
606,38.47,-90.15,June,F1
607,41.33,-99.55,October,F2
608,30.0,-84.45,June,F0
609,29.83,-84.68,June,F0
610,36.4,-96.05,June,F0
611,36.48,-95.92,June,F0
612,46.18,-87.57,June,F1
613,26.45,-82.02,September,F1
614,40.33,-98.52,November,F0
615,36.05,-92.07,May,F1
616,35.63,-100.35,June,F0
617,38.13,-101.75,May,F0
618,40.37,-84.05,June,F0
619,39.7,-102.38,June,F0
620,29.8,-84.88,September,F1
621,36.4,-100.82,June,F0
622,40.63,-96.22,October,F0
623,31.17,-94.83,November,F1
624,41.37,-97.87,October,F1
625,40.67,-96.27,October,F0
626,36.53,-88.0,May,F1
627,35.93,-79.08,June,F0
628,36.03,-92.05,May,F1
629,41.45,-100.2,June,F0
630,48.43,-101.43,June,F0
631,48.75,-101.28,June,F0
632,41.4,-99.93,June,F0
633,35.67,-94.4,May,F1
634,40.42,-88.9,May,F2
635,29.97,-94.88,May,F0
636,40.45,-89.78,May,F1
637,39.58,-90.25,May,F1
638,40.25,-89.43,May,F0
639,30.25,-84.32,September,F1
640,30.1,-84.48,September,F0
641,29.88,-84.4,September,F0
642,26.68,-80.67,July,F0
643,25.77,-80.68,July,F0
644,26.9,-82.1,September,F0
645,27.0,-81.97,September,F0
646,37.87,-98.73,June,F0
647,33.0,-95.25,July,F1
648,40.85,-99.85,October,F2
649,26.45,-81.98,September,F1
650,27.3,-81.37,September,F0
